ID,Año_prod,T/C,Temporada,Capitulo,Destino,Fec_Estreno,Dia,Mes,Año,Dia_Sem,Estreno_RR,Franja,H_ini,H_fin,Dur,Tandas,RH_C13,SH_C13,RC_C13,SC_C13,RH_TVN,SH_TVN,RC_TVN,SC_TVN,RH_MEGA,SH_MEGA,RC_MEGA,SC_MEGA,RH_CHV,SH_CHV,RC_CHV,SC_CHV,RH_TVPAGO,SH_TVPAGO,RC_TVPAGO,SC_TVPAGO,RH_ENC,SH_ENC,RC_ENC,SC_ENC,PosH_C13,PosC_C13,Comentario,Region,Zona,Fecha
1,2013.0,11,1,1.0,Valparaíso Plano,31-8-2013,31,8,2013,6,Estreno,Off Prime PM,15:54,16:58,1:04:00,2,6.5,15.0,1.8,10.4,3.9,9.1,1.2,7.2,5.8,13.4,1.7,10.1,6.2,14.4,1.2,7.0,20.0,46.1,9.6,55.7,43.3,100,17.3,100,1,1,,Valparaíso,Centro,2013-08-31
2,2013.0,12,1,2.0,Valparaíso Cerros,5-10-2013,5,10,2013,6,Estreno,Off Prime PM,15:40,16:45,1:05:00,4,6.6,15.4,2.8,16.7,5.9,13.9,2.0,11.6,6.1,14.3,1.7,10.2,3.7,8.7,1.3,7.7,19.5,45.8,7.5,44.1,42.7,100,16.9,100,1,1,,Valparaíso,Centro,2013-10-05
3,2014.0,21,2,1.0,Chiloé 1,12-4-2014,12,4,2014,6,Estreno,Off Prime PM,14:28,15:36,1:08:00,2,5.4,12.4,1.8,9.8,4.7,10.7,1.9,10.2,4.8,10.9,2.6,14.2,8.8,20.1,2.2,12.2,20.1,46.1,7.5,41.4,43.7,100,18.2,100,2,4,,Los Lagos,Sur,2014-04-12
4,2014.0,22,2,2.0,Chiloé 2,19-4-2014,19,4,2014,6,Estreno,Off Prime PM,14:30,15:31,1:01:00,2,6.6,15.2,3.0,15.6,4.8,11.0,1.8,9.7,4.5,10.5,1.9,10.2,6.8,15.8,2.7,14.3,20.6,47.6,7.9,41.5,43.3,100,19.0,100,2,1,,Los Lagos,Sur,2014-04-19
6,2014.0,23,2,3.0,Valdivia,3-5-2014,3,5,2014,6,Estreno,Off Prime PM,14:30,15:47,1:17:00,2,7.5,17.4,2.7,16.1,5.3,12.2,1.4,8.4,5.9,13.7,2.0,11.6,7.5,17.3,2.0,11.7,19.0,44.1,7.7,46.0,43.2,100,16.8,100,1,1,,Los Ríos,Sur,2014-05-03
8,2014.0,24,2,4.0,Barrio Yungay,17-5-2014,17,5,2014,6,Estreno,Off Prime PM,17:37,18:56,1:19:00,4,6.9,14.4,2.1,11.7,5.5,11.5,2.0,11.2,5.3,11.0,0.7,3.9,5.7,11.9,1.5,8.0,24.9,51.6,10.4,56.7,48.2,100,18.3,100,1,1,,Metropolitana,Centro,2014-05-17
9,2014.0,25,2,5.0,Curicó,24-5-2014,24,5,2014,6,Estreno,Off Prime PM,14:41,15:58,1:17:00,2,7.4,15.6,2.7,12.9,4.6,9.7,1.2,5.7,7.5,15.9,2.8,13.0,6.0,12.6,1.2,5.5,24.3,51.4,12.2,57.3,47.3,100,21.3,100,2,2,,Maule,Centro,2014-05-24
11,2014.0,26,2,6.0,Sagrada Familia,7-6-2014,7,6,2014,6,Estreno,Off Prime PM,14:27,15:46,1:19:00,3,11.0,20.7,3.2,15.6,8.3,15.6,2.5,12.1,8.4,15.7,3.0,15.1,6.6,12.4,1.6,8.2,21.3,40.0,8.1,39.9,53.4,100,20.2,100,1,1,,Maule,Centro,2014-06-07
12,2014.0,23,2,3.0,Valdivia,28-6-2014,28,6,2014,6,RR 1,Off Prime PM,18:56,20:09,1:13:00,1,9.4,17.1,3.6,15.3,5.3,9.6,1.8,7.7,9.7,17.7,3.2,13.6,5.8,10.6,1.2,4.9,26.1,47.4,11.6,49.0,55.1,100,23.7,100,2,1,,Los Ríos,Sur,2014-06-28
13,2014.0,27,2,7.0,Concepción,19-7-2014,19,7,2014,6,Estreno,Off Prime PM,14:31,15:58,1:27:00,2,7.4,17.3,2.0,12.0,3.6,8.4,1.0,6.3,5.3,12.5,1.7,10.6,4.5,10.6,1.9,11.9,21.0,49.4,8.1,49.9,42.5,100,16.2,100,1,1,,Bío Bío,Sur,2014-07-19
14,2014.0,28,2,8.0,Coquimbo -La Serena,26-7-2014,26,7,2014,6,Estreno,Off Prime PM,14:35,15:55,1:20:00,2,5.8,12.8,2.9,16.8,6.7,14.7,1.7,9.6,4.7,10.3,1.3,7.8,6.3,13.8,1.8,10.2,21.7,47.9,8.9,51.3,45.4,100,17.2,100,3,1,,Coquimbo,Norte,2014-07-26
15,2014.0,29,2,9.0,Picadas de la Ruta 5 sur,2-8-2014,2,8,2014,6,Estreno,Off Prime PM,14:31,15:48,1:17:00,2,8.0,19.8,4.0,23.3,3.8,9.5,0.9,5.1,5.4,13.4,2.4,13.7,4.9,12.1,1.2,7.0,18.9,46.8,8.0,46.1,40.5,100,17.3,100,1,1,,O'Higgins,Centro,2014-08-02
